NP_387882.1	BSU00010	dnaA
NP_388615.1	BSU07340	mtrA
NP_388616.1	BSU07350	vdhT
NP_388617.1	BSU07360	yfmS
NP_388618.1	BSU07370	ettA
NP_388619.1	BSU07380	yfmQ
NP_388620.1	BSU07390	copP
NP_388621.1	BSU07400	copO
NP_388622.1	BSU07410	yfmN
NP_388623.2	BSU07420	ettM
NP_388624.1	BSU07430	yfmL
NP_388625.1	BSU07440	yfmK
NP_388626.1	BSU07450	yfmJ
NP_388627.1	BSU07460	yfmI
NP_388629.1	BSU07480	yfmG
NP_388630.1	BSU07490	fecF
NP_388631.1	BSU07500	fecE
NP_388632.1	BSU07510	fecD
NP_388633.1	BSU07520	fecC
NP_388634.1	BSU07530	yfmB
NP_388636.1	BSU07550	yflT
NP_388637.1	BSU07560	pelA
NP_388638.1	BSU07570	maeS
NP_388639.1	BSU07580	citS
NP_388640.1	BSU07590	citT
NP_388641.2	BSU07600	yflP
NP_388642.1	BSU07610	citM
NP_388643.1	BSU07620	yflN
NP_388644.2	BSU07630	nosA
NP_388645.1	BSU07640	acyP
NP_388646.1	BSU07650	yflK
NP_388647.1	BSU07660	yflJ
NP_388648.1	BSU07670	yflI
NP_388649.1	BSU07680	yflH
NP_388650.1	BSU07690	mapB
NP_388651.1	BSU07700	nagP
NP_388652.1	BSU07710	ltaSB
NP_388653.1	BSU07720	yflD
NP_388655.2	BSU07735	yflB
NP_388656.1	BSU07750	yflA
NP_388657.1	BSU07760	yfkT
NP_388658.1	BSU07770	yfkS
NP_388659.1	BSU07780	yfkR
NP_388660.1	BSU07790	yfkQ
NP_388661.1	BSU07800	treP
NP_388662.1	BSU07810	treA
NP_388663.1	BSU07820	treR
NP_388664.1	BSU07830	hypO
NP_388665.1	BSU07840	yfkN
NP_388666.1	BSU07850	sufLB
NP_388667.1	BSU07860	yfkL
NP_388668.1	BSU07870	yfkK
NP_388669.1	BSU07880	yfkJ
NP_388670.1	BSU07890	yfkI
NP_388671.1	BSU07900	rbn
NP_388672.1	BSU07910	yfkF
NP_388673.1	BSU07920	chaA
NP_388674.1	BSU07930	yfkD
NP_388675.1	BSU07940	mscC
NP_388677.2	BSU07955	yfkA
NP_388678.1	BSU07970	yfjT
NP_388679.1	BSU07980	pdaA
NP_388680.2	BSU07990	yfjR
NP_388681.1	BSU08000	yfjQ
NP_388682.1	BSU08010	yfjP
NP_388683.1	BSU08020	yfjO
YP_003097694.1	BSU08029	yfzA
NP_388684.1	BSU08030	dusC
NP_388685.1	BSU08040	yfjM
NP_388686.1	BSU08050	yfjL
NP_388687.1	BSU08060	acoA
NP_388688.1	BSU08070	acoB
NP_388689.1	BSU08080	acoC
NP_388690.1	BSU08090	acoL
NP_388691.1	BSU08100	acoR
NP_388692.1	BSU08110	sspH
NP_388693.1	BSU08120	yfjF
NP_388694.1	BSU08130	yfjE
NP_388695.1	BSU08140	yfjD
NP_388696.1	BSU08150	yfjC
NP_388697.1	BSU08160	yfjB
NP_388698.1	BSU08170	yfjA
NP_388699.1	BSU08180	malA
NP_388700.1	BSU08190	malR
NP_388701.1	BSU08200	malP
NP_388702.1	BSU08210	yfiB
NP_388703.1	BSU08220	yfiC
NP_388704.1	BSU08230	catD
NP_388705.2	BSU08240	catE
NP_388706.1	BSU08250	yfiF
NP_388707.1	BSU08260	yfiG
NP_388708.1	BSU08270	yfiH
NP_388709.1	BSU08280	yfiI
NP_388710.1	BSU08290	linJ
NP_388711.1	BSU08300	linK
NP_388712.2	BSU08310	bifL
NP_388713.1	BSU08320	bifM
NP_388714.1	BSU08330	bifN
NP_388715.1	BSU08340	padR
NP_388716.1	BSU08350	estB
NP_388717.1	BSU08360	icaC
NP_388718.1	BSU08370	yfiR
NP_388719.1	BSU08380	yfiS
NP_388720.1	BSU08390	bstA
NP_388721.1	BSU08400	yfiU
NP_388722.1	BSU08410	yfiV
YP_003097695.1	BSU08425	mprF
NP_388725.1	BSU08440	sxzY
NP_388726.1	BSU08450	sxzZ
NP_388727.1	BSU08460	sxzA
NP_388728.1	BSU08470	yfhB
NP_388729.1	BSU08480	yfhC
NP_388730.1	BSU08490	yfhD
NP_388731.1	BSU08500	yfhE
NP_388732.1	BSU08510	yfhF
NP_388733.1	BSU08520	recX
NP_388734.1	BSU08530	yfhH
NP_388735.1	BSU08540	yfhI
YP_054573.1	BSU08550	sspK
NP_388736.1	BSU08560	yfhJ
NP_388737.1	BSU08570	yfhK
NP_388738.1	BSU08580	spdL
NP_388739.1	BSU08590	ephM
NP_388740.1	BSU08600	csbB
NP_388741.2	BSU08610	yfhO
NP_388742.1	BSU08620	yfhP
NP_388743.1	BSU08630	mutY
NP_388744.1	BSU08640	yfhS
NP_388745.1	BSU08650	fabL
NP_388746.1	BSU08660	sspE
NP_388747.1	BSU08670	ygaB
NP_388748.3	BSU08680	ygaC
NP_388749.2	BSU08690	ygaD
NP_388750.1	BSU08700	ygaE
NP_388751.3	BSU08710	gsaB
YP_054574.1	BSU08720	bcp
NP_388753.1	BSU08730	perR
YP_054575.1	BSU08740	ygzB
NP_388755.1	BSU08750	ygxA
NP_388756.2	BSU08760	spo0M
NP_388757.2	BSU08770	ygzA
YP_003097696.1	BSU08779	ygzC
NP_388758.2	BSU08780	ygaJ
NP_388759.2	BSU08790	thiC
NP_388760.2	BSU08800	ygaK
NP_388761.2	BSU08810	senS
NP_388762.2	BSU08820	katA
NP_388763.3	BSU08830	ssuB
NP_388764.1	BSU08840	ssuA
NP_388765.1	BSU08850	ssuC
NP_388766.2	BSU08860	ssuD
NP_388767.1	BSU08870	ygaN
NP_388768.1	BSU08880	rpsNB
NP_388769.1	BSU08890	ygaO
YP_003097697.1	BSU08899	ygzD
NP_388771.1	BSU08900	yhzB
NP_388772.2	BSU08910	queG
NP_388773.1	BSU08920	yhbB
NP_388774.2	BSU08930	trmL
NP_388775.1	BSU08940	yhbD
NP_388776.1	BSU08950	yhbE
NP_388777.2	BSU08960	yhbF
NP_388778.1	BSU08970	prkA
NP_388779.1	BSU08980	yhbH
NP_388780.1	BSU08990	yhbI
NP_388781.1	BSU09000	yhbJ
NP_388782.1	BSU09010	yhcA
NP_388783.1	BSU09020	yhcB
NP_388784.1	BSU09030	yhcC
NP_388785.1	BSU09040	yhcD
NP_388786.1	BSU09050	yhcE
NP_388787.1	BSU09060	yhcF
NP_388788.1	BSU09070	yhcG
NP_388789.1	BSU09080	yhcH
NP_388790.1	BSU09090	yhcI
NP_388791.1	BSU09100	cspB
NP_388792.2	BSU09110	yhcJ
NP_388793.1	BSU09120	dgcK
NP_388794.1	BSU09130	tcyP
NP_388795.1	BSU09140	yhcM
NP_388796.2	BSU09150	yhcN
NP_388797.2	BSU09165	yhcO
NP_388799.1	BSU09180	yhcQ
NP_388800.1	BSU09190	mncR
NP_388801.1	BSU09200	srtA
NP_388802.2	BSU09210	yhcT
NP_388803.2	BSU09220	yhcU
NP_388804.1	BSU09230	yhcV
NP_388805.1	BSU09240	glpW
NP_388806.2	BSU09250	yhcX
NP_388807.2	BSU09260	yhxA
NP_388808.1	BSU09270	glpP
NP_388809.1	BSU09280	glpF
NP_388810.2	BSU09290	glpK
NP_388811.2	BSU09300	glpD
NP_388812.2	BSU09310	pgcA
NP_388813.1	BSU09320	yhcY
NP_388814.1	BSU09330	yhcZ
NP_388815.1	BSU09340	azr
NP_388816.1	BSU09350	yhdB
NP_388817.1	BSU09360	yhdC
NP_388818.2	BSU09370	lytF
NP_388819.1	BSU09380	nsrR
NP_388820.1	BSU09390	ygxB
NP_388821.1	BSU09400	spoVR
NP_388822.2	BSU09410	phoA
NP_388823.2	BSU09420	lytE
NP_388824.2	BSU09430	citR
NP_388825.2	BSU09440	citA
NP_388826.1	BSU09450	yhdF
NP_388827.1	BSU09460	bcaP
NP_388828.1	BSU09470	yhdH
NP_388829.1	BSU09480	yhdI
NP_388830.1	BSU09490	yhdJ
NP_388831.1	BSU09500	asiMB
NP_388832.1	BSU09510	asiMA
NP_388833.1	BSU09520	sigM
NP_388834.1	BSU09530	akrN
NP_388835.1	BSU09540	plsC
NP_388836.1	BSU09550	yhdP
NP_388837.1	BSU09560	cueR
NP_388838.1	BSU09570	yhdR
NP_388840.1	BSU09590	yhdT
NP_388841.1	BSU09600	crcBA
NP_388842.1	BSU09610	crcBB
NP_388843.1	BSU09620	yhdW
NP_388844.1	BSU09630	yhdX
NP_388845.1	BSU09640	mscY
NP_388846.1	BSU09650	srtN
NP_388847.1	BSU09660	yheN
NP_388848.1	BSU09670	dat
NP_388849.1	BSU09680	nhaC
NP_388850.2	BSU09690	nhaX
NP_388851.1	BSU09700	bmrB
NP_388852.1	BSU09710	bmrC
NP_388853.1	BSU09720	bmrD
NP_388854.1	BSU09730	yheG
NP_388855.1	BSU09740	yheF
NP_388856.1	BSU09750	sspB
NP_388857.1	BSU09760	yheE
NP_388858.2	BSU09770	spaD
NP_388859.1	BSU09780	spaC
NP_388860.1	BSU09790	yheB
NP_388861.1	BSU09800	yheA
NP_388862.1	BSU09810	yhaZ
NP_388864.2	BSU09830	yhaX
NP_388865.1	BSU09840	hemZ
NP_388866.2	BSU09850	khtU
NP_388867.1	BSU09860	khtT
NP_388868.1	BSU09870	khtS
NP_388869.3	BSU09880	yhaR
YP_003097698.1	BSU09889	yhzD
NP_388870.2	BSU09890	yhaQ
NP_388871.2	BSU09900	yhaP
NP_388872.1	BSU09910	yhaO
NP_388873.1	BSU09920	sbcE
NP_388874.1	BSU09930	yhaM
NP_388875.1	BSU09940	yhaL
NP_388876.1	BSU09950	prsA
YP_003097699.1	BSU09958	sscA
YP_009513948.1	BSU09959	sscB
NP_388878.2	BSU09965	yhaJ
NP_388879.1	BSU09980	yhaI
NP_388880.1	BSU09990	scoC
NP_388881.1	BSU10000	yhaH
YP_003097700.1	BSU10009	yhzF
NP_388882.2	BSU10010	trpP
NP_388883.1	BSU10020	serC
NP_388884.1	BSU10030	hinT
NP_388885.1	BSU10040	ecsA
NP_388886.1	BSU10050	ecsB
NP_388887.1	BSU10060	ecsC
NP_388888.2	BSU10070	sndC
NP_388889.1	BSU10080	yhfA
NP_388890.1	BSU10090	yhgB
NP_388891.1	BSU10100	hmoB
NP_388892.2	BSU10110	pbpF
NP_388893.1	BSU10120	hemE
NP_388894.1	BSU10130	hemH
NP_388895.1	BSU10140	hemY
NP_388896.1	BSU10150	yhgD
NP_388897.1	BSU10160	yhgE
NP_388898.1	BSU10170	fabHB
NP_388899.1	BSU10180	yhfC
NP_388901.1	BSU10200	yhfE
NP_388902.1	BSU10210	yhfF
NP_388903.1	BSU10220	gltT
NP_388904.1	BSU10230	yhfH
NP_388905.1	BSU10240	yhfI
NP_388906.1	BSU10250	lplJ
NP_388907.1	BSU10260	yhfK
NP_388908.2	BSU10270	lcfB
NP_388909.1	BSU10280	yhfM
NP_388910.1	BSU10290	yhfN
NP_388911.2	BSU10300	aprE
NP_388912.1	BSU10310	yhfO
NP_388913.1	BSU10320	yhfP
NP_388914.2	BSU10330	yhfQ
NP_388915.1	BSU10340	phoE
NP_388916.1	BSU10350	yhfS
NP_388917.1	BSU10360	yhfT
NP_388918.1	BSU10370	bioY
NP_388919.1	BSU10380	hemAT
NP_388920.1	BSU10390	yhfW
NP_388921.1	BSU10400	yhxC
NP_388922.1	BSU10410	yhzC
NP_388923.1	BSU10420	comK
NP_388924.1	BSU10430	yhxD
NP_388925.1	BSU10440	yhjA
NP_388926.1	BSU10450	yhjB
NP_388927.1	BSU10460	yhjC
NP_388928.1	BSU10470	yhjD
NP_388929.1	BSU10480	yhjE
NP_388930.1	BSU10490	sipV
NP_388931.1	BSU10500	yhjG
NP_388932.1	BSU10510	yhjH
NP_388933.1	BSU10520	glcP
NP_388934.2	BSU10530	ntdC
NP_388935.2	BSU10540	ntdB
NP_388936.1	BSU10550	ntdA
NP_388937.1	BSU10560	ntdR
NP_388938.1	BSU10570	yhjN
NP_388939.1	BSU10580	yhjO
NP_388940.1	BSU10590	yhjP
NP_388941.1	BSU10600	yhjQ
NP_388942.1	BSU10610	yhjR
NP_388943.2	BSU10620	addB
NP_388944.2	BSU10630	addA
NP_388945.3	BSU10640	sbcD
NP_388946.2	BSU10650	sbcC
NP_388947.1	BSU10660	hlpB
NP_388948.2	BSU10670	gerPF
NP_388949.1	BSU10680	gerPE
NP_388950.1	BSU10690	gerPD
NP_388951.1	BSU10700	gerPC
NP_388952.2	BSU10710	gerPB
NP_388953.1	BSU10720	gerPA
NP_388954.1	BSU10730	pchI
NP_388955.1	BSU10740	yisJ
NP_388956.1	BSU10750	mblK
NP_388957.1	BSU10760	yisL
NP_388958.1	BSU10770	wprA
NP_388959.1	BSU10780	yisN
NP_388960.2	BSU10790	asnO
YP_054576.1	BSU10800	yizA
NP_388961.1	BSU10810	farP
NP_388962.1	BSU10820	yisQ
NP_388963.1	BSU10830	yisR
NP_388964.1	BSU10840	iolQ
NP_388965.1	BSU10850	iolX
NP_388966.2	BSU10860	yisT
NP_388967.1	BSU10870	yisU
NP_388968.2	BSU10880	yisV
NP_388970.1	BSU10890	yisX
NP_388971.1	BSU10900	yisY
NP_388972.1	BSU10910	yisZ
NP_388973.2	BSU10920	yitA
NP_388974.2	BSU10930	yitB
NP_388975.1	BSU10940	slpH
NP_388976.1	BSU10950	slpS
NP_388977.1	BSU10960	yitE
NP_388978.1	BSU10970	yitF
NP_388979.1	BSU10980	yitG
NP_388980.1	BSU10990	yitH
NP_388981.2	BSU11000	yitI
NP_388982.1	BSU11010	samT
NP_388983.1	BSU11020	yitK
NP_388984.1	BSU11030	yitL
NP_388985.1	BSU11040	yitM
NP_388987.2	BSU11055	yitO
NP_388988.1	BSU11070	yitP
YP_003097701.1	BSU11079	yizB
NP_388989.2	BSU11080	yitQ
NP_388990.1	BSU11090	yitR
NP_388991.1	BSU11100	nprB
NP_388992.1	BSU11110	fakBB
NP_388993.1	BSU11120	yitT
NP_388994.1	BSU11130	ipi
YP_003097702.1	BSU11139	yizC
NP_388995.1	BSU11140	ribZC
NP_388996.1	BSU11150	yitV
NP_388997.1	BSU11160	yitW
NP_388999.3	BSU11170	yitY
NP_389000.1	BSU11180	yitZ
NP_389001.2	BSU11190	argC
NP_389002.2	BSU11200	argJ
NP_389003.1	BSU11210	argB
NP_389004.2	BSU11220	argD
NP_389005.2	BSU11230	carA
NP_389006.3	BSU11240	carB
NP_389007.1	BSU11250	argF
NP_389008.1	BSU11260	yjzC
NP_389009.1	BSU11270	yjzD
NP_389010.1	BSU11280	yjaU
NP_389011.2	BSU11290	yjaV
NP_389012.2	BSU11300	med
NP_389013.1	BSU11310	comZ
NP_389014.1	BSU11320	yjzB
NP_389015.1	BSU11330	fabHA
NP_389016.1	BSU11340	fabF
NP_389017.1	BSU11350	yjaZ
NP_389018.1	BSU11360	appD
NP_389019.2	BSU11370	appF
NP_389021.2	BSU11390	appB
NP_389022.1	BSU11400	appC
NP_389023.1	BSU11410	yjbA
NP_389024.1	BSU11420	trpS
NP_389025.1	BSU11430	oppA
NP_389026.1	BSU11440	oppB
NP_389027.1	BSU11450	oppC
NP_389028.1	BSU11460	oppD
NP_389029.1	BSU11470	oppF
NP_389030.2	BSU11480	yjbB
NP_389031.2	BSU11490	yjbC
NP_389032.1	BSU11500	spxA
NP_389033.1	BSU11510	yjbE
YP_009513949.1	BSU11515	NODATA
NP_389034.1	BSU11520	mecA
YP_009513950.1	BSU11525	NODATA
NP_389035.1	BSU11530	coiA
NP_389036.2	BSU11540	pepF
YP_003097703.1	BSU11549	yizD
NP_389037.2	BSU11550	spxH
NP_389038.1	BSU11560	yjbI
NP_389039.1	BSU11570	cwlQ
NP_389040.1	BSU11580	yjbK
NP_389041.1	BSU11590	yjbL
NP_389042.1	BSU11600	relP
NP_389043.1	BSU11610	ppnKA
NP_389044.1	BSU11620	yjbO
NP_389045.1	BSU11630	prpE
NP_389046.1	BSU11640	kefQ
NP_389047.1	BSU11650	tenA
NP_389048.1	BSU11660	tenI
NP_389049.1	BSU11670	thiO
NP_389050.1	BSU11680	thiS
NP_389051.1	BSU11690	thiG
NP_389052.1	BSU11700	thiF
NP_389053.1	BSU11710	thiD
NP_389054.2	BSU11720	fabI
NP_389055.1	BSU11730	cotO
NP_389056.1	BSU11740	cotZ
NP_389057.1	BSU11750	cotY
NP_389058.1	BSU11760	cotX
NP_389059.1	BSU11770	cotW
NP_389060.1	BSU11780	cotV
NP_389061.1	BSU11790	yjcA
YP_003097704.1	BSU11799	yjzK
YP_009513951.1	BSU11800	yjcB
YP_003097705.1	BSU11809	yjcZ
NP_389063.2	BSU11810	spoVIF
NP_389064.3	BSU11820	yjcD
YP_003097706.1	BSU11839	yjzE
NP_389066.1	BSU11840	yjcF
NP_389067.1	BSU11850	yjcG
NP_389068.1	BSU11860	yjcH
NP_389069.1	BSU11870	metI
NP_389070.1	BSU11880	metC
NP_389071.1	BSU11890	yjcK
NP_389072.1	BSU11900	yjcL
NP_389073.1	BSU11910	yjcM
NP_389074.1	BSU11920	yjcN
YP_003097707.1	BSU11928	yjzF
YP_003097708.1	BSU11929	yjzG
NP_389075.1	BSU11930	yjcO
NP_389076.1	BSU11940	yjcP
NP_389077.1	BSU11950	yjcQ
NP_389078.1	BSU11960	yjcR
NP_389079.1	BSU11970	yjcS
NP_389080.1	BSU11980	yjdA
NP_389081.1	BSU11990	yjdB
NP_389082.2	BSU12000	manR
NP_389083.2	BSU12010	manP
NP_389084.1	BSU12020	manA
NP_389085.1	BSU12030	yjdF
NP_389086.1	BSU12040	yjdG
NP_389087.2	BSU12050	yjdH
NP_389088.1	BSU12060	trnE
YP_003097709.1	BSU12069	yjzH
NP_389089.1	BSU12070	yjdJ
NP_389090.2	BSU12080	ctaO
NP_389091.2	BSU12090	cotT
NP_389092.1	BSU12100	pdaC
NP_389093.1	BSU12110	yjfA
NP_389094.1	BSU12120	yjfB
NP_389095.2	BSU12130	yjfC
NP_389096.1	BSU12140	yjgA
NP_389097.1	BSU12150	yjgB
NP_389098.1	BSU12160	yjgC
NP_389099.1	BSU12170	yjgD
NP_389100.1	BSU12180	yjhA
NP_389101.2	BSU12190	yjhB
NP_389102.1	BSU12200	yjiA
NP_389103.1	BSU12210	cypE
NP_389104.1	BSU12220	ppuG
YP_003097710.1	BSU12229	yjzI
NP_389105.1	BSU12230	yjjA
NP_389106.1	BSU12240	yjkA
NP_389107.1	BSU12250	yjkB
NP_389108.1	BSU12260	yjlA
NP_389109.1	BSU12270	yjlB
NP_389110.1	BSU12280	yjlC
NP_389111.1	BSU12290	ndh
NP_389112.1	BSU12300	uxaC
NP_389113.1	BSU12310	exuM
NP_389114.1	BSU12320	yjmC
NP_389115.1	BSU12330	yjmD
NP_389116.1	BSU12340	uxuA
NP_389117.1	BSU12350	uxuB
NP_389118.1	BSU12360	exuT
NP_389119.1	BSU12370	exuR
NP_389120.1	BSU12380	uxaB
NP_389121.2	BSU12390	uxaA
NP_389122.1	BSU12400	yjnA
NP_389123.1	BSU12410	yjoA
NP_389124.1	BSU12420	yjoB
NP_389125.1	BSU12430	rapA
NP_389126.1	BSU12440	phrA
NP_389127.2	BSU12450	yjpA
NP_389128.1	BSU12460	xlyB
NP_389129.1	BSU12470	yjqA
NP_389130.1	BSU12480	pghB
NP_389131.2	BSU12490	xpdC
NP_389132.3	BSU12500	xkdA
NP_389133.1	BSU12510	xre
YP_003097711.1	BSU12519	yjzJ
NP_389134.2	BSU12520	xkdB
NP_389135.2	BSU12530	xkdC
YP_003097712.1	BSU12539	ykzK
NP_389136.1	BSU12540	xkdD
NP_389137.1	BSU12550	xtrA
NP_389138.1	BSU12560	xpf
NP_389139.1	BSU12570	xtmA
NP_389140.1	BSU12580	xtmB
NP_389141.2	BSU12590	xkdE
NP_389142.2	BSU12600	xkdF
NP_389143.1	BSU12610	xkdG
YP_003097713.1	BSU12619	ykzL
NP_389144.1	BSU12620	xkdH
NP_389145.1	BSU12630	xkdI
NP_389146.1	BSU12640	xkdJ
YP_003097714.1	BSU12649	ykzM
NP_389147.2	BSU12650	xkdK
NP_389148.1	BSU12660	xkdM
NP_389149.2	BSU12671	xkdN
YP_003097715.1	BSU12672	xkzB
NP_389150.2	BSU12680	xkdO
NP_389151.2	BSU12690	xkdP
NP_389152.1	BSU12700	xkdQ
NP_389153.1	BSU12710	xkdR
NP_389154.1	BSU12720	xkdS
NP_389155.1	BSU12730	xkdT
NP_389156.1	BSU12740	xkdU
YP_003097716.1	BSU12749	xkzA
NP_389158.1	BSU12750	xkdV
NP_389159.1	BSU12760	xkdW
NP_389160.1	BSU12770	xkdX
NP_389161.2	BSU12780	xepA
NP_389162.1	BSU12790	xhlA
NP_389163.1	BSU12800	xhlB
NP_389164.1	BSU12810	xlyA
YP_009513952.1	BSU12815	spoIISC
NP_389165.1	BSU12820	spoIISB
NP_389166.1	BSU12830	spoIISA
NP_389167.2	BSU12840	pitB
NP_389168.1	BSU12850	ykaA
NP_389169.1	BSU12860	steT
NP_389170.1	BSU12870	mhqA
YP_009513953.1	BSU12875	NODATA
NP_389171.2	BSU12880	ykcB
NP_389172.2	BSU12890	ykcC
NP_389173.2	BSU12900	htrA
NP_389174.1	BSU12910	proCC
NP_389175.2	BSU12920	dppA
NP_389176.1	BSU12930	dppB
NP_389177.1	BSU12940	dppC
NP_389178.1	BSU12950	dppD
NP_389179.2	BSU12960	dppE
NP_389180.2	BSU12970	ldcA
NP_389181.1	BSU12980	aeeB
NP_389182.2	BSU12990	eepC
NP_389183.2	BSU13000	ykfD
NP_389184.1	BSU13010	pgl
NP_389185.2	BSU13020	ddaH
NP_389186.2	BSU13030	ykhA
NP_389187.1	BSU13040	hmpA
NP_389188.1	BSU13050	ykzH
NP_389189.1	BSU13060	ykjA
NP_389190.1	BSU13070	ykkA
NP_389191.1	BSU13080	ykkB
NP_389192.1	BSU13090	gdnC
NP_389193.1	BSU13100	gdnD
NP_389194.2	BSU13110	purU
NP_389195.2	BSU13120	proB
NP_389196.2	BSU13130	proA
NP_389197.1	BSU13140	ohrA
NP_389198.1	BSU13150	ohrR
NP_389199.1	BSU13160	ohrB
YP_003097717.1	BSU13169	ykzN
NP_389200.1	BSU13170	guaN
NP_389201.2	BSU13180	metE
NP_389202.1	BSU13190	ispA
NP_389203.1	BSU13200	rsbRB
NP_389204.1	BSU13210	thiX
NP_389205.2	BSU13220	thiW
NP_389206.2	BSU13230	thiV
NP_389207.1	BSU13240	thiU
NP_389208.1	BSU13250	ykoG
NP_389209.1	BSU13260	ykoH
NP_389210.1	BSU13270	ykoI
NP_389211.1	BSU13280	ykoJ
NP_389212.1	BSU13290	ykzD
NP_389213.1	BSU13300	mgtE
NP_389214.1	BSU13310	tnrA
NP_389215.1	BSU13320	ykzB
NP_389216.1	BSU13330	ykoL
NP_389217.1	BSU13340	ykoM
NP_389218.2	BSU13350	ykoN
NP_389219.2	BSU13360	ykoP
NP_389220.1	BSU13370	ykoQ
NP_389221.1	BSU13380	ykoS
NP_389222.1	BSU13390	ykoT
NP_389223.1	BSU13400	ligD
NP_389224.1	BSU13410	ligV
YP_054577.2	BSU13420	dgcW
NP_389226.1	BSU13430	ykoX
NP_389227.1	BSU13440	ykoY
NP_389228.1	BSU13450	sigI
NP_389229.1	BSU13460	rsgI
NP_389230.1	BSU13470	sspD
NP_389231.1	BSU13480	htpK
NP_389232.1	BSU13490	htpX
NP_389233.1	BSU13500	ktrD
YP_003097718.1	BSU13509	ykzP
NP_389234.1	BSU13510	ykzE
NP_389235.1	BSU13520	ykrP
NP_389236.1	BSU13530	kinE
NP_389237.1	BSU13540	ogt
YP_009513954.1	BSU13545	NODATA
NP_389238.1	BSU13550	mtnA
NP_389239.2	BSU13560	mtnK
NP_389240.1	BSU13570	mtnU
NP_389241.1	BSU13580	mtnE
NP_389242.2	BSU13590	mtnW
NP_389243.1	BSU13600	mtnX
NP_389244.1	BSU13610	mtnB
NP_389245.1	BSU13620	mtnD
NP_389246.1	BSU13630	ykvA
NP_389247.1	BSU13640	spo0E
NP_389248.1	BSU13650	eag
NP_389249.1	BSU13660	kinD
NP_389250.1	BSU13670	mhqR
NP_389251.1	BSU13680	motB
NP_389252.1	BSU13690	motA
NP_389253.1	BSU13700	clpE
NP_389254.1	BSU13710	ykvI
NP_389255.1	BSU13720	queC
NP_389256.1	BSU13730	queD
NP_389257.1	BSU13740	queE
NP_389258.1	BSU13750	queF
NP_389259.1	BSU13760	ykvN
NP_389260.1	BSU13770	ykvO
NP_389261.1	BSU13780	ykvP
YP_003097719.1	BSU13789	ykzQ
NP_389263.1	BSU13800	ykvR
NP_389264.2	BSU13810	ykvS
YP_003097721.1	BSU13819	ykzS
NP_389265.1	BSU13820	ykvT
NP_389266.1	BSU13830	ykvU
NP_389267.1	BSU13840	stoA
NP_389268.1	BSU13850	pfeT
NP_389269.1	BSU13860	papB
NP_389270.1	BSU13870	ykvZ
NP_389271.2	BSU13880	glcT
NP_389272.1	BSU13890	ptsG
NP_389273.1	BSU13900	ptsH
NP_389274.2	BSU13910	ptsI
NP_389275.1	BSU13920	splA
NP_389276.1	BSU13930	splB
NP_389277.2	BSU13940	ykwB
NP_389278.2	BSU13950	mcpC
NP_389279.1	BSU13960	ohaC
NP_389280.2	BSU13970	ykwD
NP_389281.2	BSU13980	pbpH
NP_389282.1	BSU13990	kinA
NP_389283.2	BSU14000	dapX
YP_003097722.1	BSU14009	ykzT
NP_389284.1	BSU14010	cheV
NP_389285.1	BSU14020	kre
NP_389286.2	BSU14030	ykuC
NP_389287.1	BSU14040	ltdD
NP_389288.2	BSU14050	ppeE
NP_389289.1	BSU14060	fadH
YP_003097723.1	BSU14071	ykuG
YP_003097724.1	BSU14072	ykzU
NP_389291.1	BSU14080	ykuH
NP_389292.1	BSU14090	ykuI
NP_389293.1	BSU14100	ykuJ
NP_389294.1	BSU14110	ykuK
NP_389295.1	BSU14120	abbA
NP_389296.1	BSU14130	ykuL
NP_389297.1	BSU14140	ccpC
NP_389298.1	BSU14150	fldN
NP_389299.1	BSU14160	ykuO
NP_389300.2	BSU14170	fldP
NP_389301.2	BSU14180	dapH
NP_389302.1	BSU14190	dapI
NP_389303.1	BSU14200	ykuS
NP_389304.2	BSU14210	mscT
NP_389305.1	BSU14220	ahpA
NP_389306.2	BSU14230	ykuV
NP_389307.1	BSU14240	rok
NP_389308.1	BSU14250	sppO
NP_389309.1	BSU14260	mobA
NP_389310.1	BSU14270	moeB
NP_389311.1	BSU14280	moeA
NP_389312.1	BSU14290	mobB
NP_389313.1	BSU14300	moaE
NP_389314.1	BSU14310	moaD
NP_389315.1	BSU14320	yknU
NP_389316.1	BSU14330	yknV
NP_389317.1	BSU14340	skiW
NP_389318.1	BSU14350	skiX
NP_389319.1	BSU14360	skiY
NP_389320.1	BSU14370	skiZ
NP_389321.1	BSU14380	fruR
NP_389322.1	BSU14390	fruK
NP_389323.1	BSU14400	fruA
NP_389324.1	BSU14410	sipT
NP_389325.1	BSU14420	ykoA
NP_389326.1	BSU14430	ykpA
NP_389327.1	BSU14440	panE
NP_389328.1	BSU14450	ampS
NP_389329.1	BSU14460	ykpC
NP_389330.1	BSU14470	mreBH
NP_389331.1	BSU14480	abhA
NP_389332.1	BSU14490	kinC
NP_389333.1	BSU14500	ykqA
NP_389334.1	BSU14510	ktrC
NP_389335.2	BSU14520	adeC
NP_389336.1	BSU14530	rnjA
NP_389337.1	BSU14540	rnpZA
NP_389338.1	BSU14550	ykrA
NP_389339.1	BSU14560	defB
YP_003097725.1	BSU14569	ykzV
YP_009513955.1	BSU14568	NODATA
NP_389340.2	BSU14570	ykyA
NP_389341.1	BSU14580	pdhA
NP_389342.1	BSU14590	pdhB
NP_389343.1	BSU14600	pdhC
NP_389344.1	BSU14610	pdhD
NP_389345.1	BSU14620	slp
