NP_459006.1	STM0001	thrL
NP_459810.1	STM0833	ompX
NP_459811.1	STM0834	ybiP
NP_459812.1	STM0835	NODATA
NP_459813.1	STM0836	ybiR
NP_459814.1	STM0837	ybiS
NP_459815.1	STM0838	ybiT
NP_459816.1	STM0839	NODATA
NP_459817.1	STM0840	ybiV(2)
NP_459818.1	STM0841	ybiU
NP_459819.1	STM0842	ybiV(1)
NP_459820.1	STM0843	pflF
NP_459821.1	STM0844	pflE
NP_459822.1	STM0845	moeB
NP_459823.3	STM0846	moeA
NP_459824.1	STM0847	ybiK
NP_459825.1	STM0848	yliA
NP_459826.1	STM0849	yliB
NP_459827.1	STM0850	yliC
NP_459828.1	STM0851	yliD
NP_459829.1	STM0852	yliG
NP_459830.1	STM0853	yliH
NP_459831.1	STM0854	NODATA
NP_459832.3	STM0855	NODATA
NP_459833.1	STM0856	NODATA
NP_459834.1	STM0857	NODATA
NP_459835.1	STM0858	NODATA
NP_459836.1	STM0859	NODATA
NP_459837.1	STM0860	NODATA
NP_447297.1	STM0861	yliI
NP_459839.1	STM0862	yliJ
NP_459840.1	STM0863	dacC
NP_459841.1	STM0864	deoR
NP_459842.1	STM0865	ybjG
NP_459843.1	STM0866	mdfA
NP_459844.1	STM0867	NODATA
NP_459845.1	STM0868	NODATA
NP_459846.1	STM0869	NODATA
NP_459847.1	STM0870	NODATA
NP_459848.1	STM0871	ybjM
NP_459849.1	STM0872	grxA
NP_459850.1	STM0873	ybjC
NP_459851.1	STM0874	mdaA
NP_459852.1	STM0875	rimK
NP_459853.1	STM0876	ybjN
NP_459854.1	STM0877	potF
NP_459855.1	STM0878	potG
NP_459856.1	STM0879	potH
NP_459857.1	STM0880	potI
NP_459858.1	STM0881	ybjO
NP_459859.1	STM0882	ybjF
NP_459860.1	STM0884	NODATA
NP_459861.1	STM0885	NODATA
NP_459862.1	STM0886	NODATA
NP_459863.1	STM0887	artJ
NP_459864.1	STM0888	artM
NP_459865.1	STM0889	artQ
NP_459866.1	STM0890	artI
NP_459867.1	STM0891	artP
NP_459868.1	STM0892	ybjP
NP_459869.1	STM0893	NODATA
NP_459870.1	STM0894	NODATA
NP_459871.1	STM0895	NODATA
NP_459872.1	STM0896	NODATA
NP_459873.1	STM0897	NODATA
NP_459874.1	STM0898	NODATA
NP_459875.1	STM0898A	NODATA
NP_459876.1	STM0899	NODATA
NP_459877.1	STM0900	NODATA
NP_459878.1	STM0901	NODATA
NP_459879.1	STM0902	NODATA
NP_459880.1	STM0903	NODATA
NP_459881.1	STM0904	NODATA
NP_459882.1	STM0905	NODATA
NP_459883.1	STM0906	NODATA
NP_459884.1	STM0907	NODATA
NP_459885.1	STM0908	NODATA
NP_459886.1	STM0909	NODATA
NP_459887.1	STM0910	NODATA
NP_459888.1	STM0911	NODATA
NP_459889.3	STM0912	NODATA
NP_459890.1	STM0913	NODATA
NP_459891.1	STM0914	NODATA
NP_459892.1	STM0915	NODATA
NP_459893.1	STM0916	NODATA
NP_459894.1	STM0917	NODATA
NP_459895.1	STM0918	NODATA
NP_459896.1	STM0919	NODATA
NP_459897.1	STM0920	NODATA
NP_459898.1	STM0921	NODATA
NP_459899.1	STM0922	NODATA
NP_459900.1	STM0923	NODATA
NP_459901.1	STM0924	NODATA
NP_459902.3	STM0925	NODATA
NP_459903.1	STM0926	NODATA
NP_459904.1	STM0927	NODATA
NP_459905.1	STM0928	nanH
NP_447365.1	STM0929	NODATA
NP_459907.1	STM0930	NODATA
NP_459908.1	STM0931	ybjR
NP_459909.1	STM0932	NODATA
NP_459910.1	STM0933	ybjT
NP_459911.1	STM0934	ltaA
NP_459912.1	STM0935	poxB
NP_459913.1	STM0936	hcr
NP_459914.1	STM0937	hcp
NP_459915.1	STM0938	ybjE
NP_459916.2	STM0939	ybjD
NP_459917.1	STM0940	ybjX
NP_459918.1	STM0941	ybjY
NP_459919.1	STM0942	ybjZ
NP_459920.1	STM0943	cspD
NP_459921.1	STM0944	yljA
NP_459922.1	STM0945	clpA
NP_459923.1	STM0946	tnpA_1
NP_459926.1	STM0950	NODATA
NP_459927.1	STM0951	NODATA
NP_459928.1	STM0952	NODATA
NP_459929.1	STM0953	infA
NP_459930.1	STM0954	NODATA
NP_459931.1	STM0955	aat
NP_459932.1	STM0956	cydC
NP_459933.1	STM0957	cydD
NP_459934.1	STM0958	trxB
NP_459935.1	STM0959	lrp
NP_459936.1	STM0960	ftsK
NP_459937.1	STM0961	lolA
NP_459938.1	STM0962	ycaJ
NP_459939.1	STM0963	serS
NP_459940.1	STM0964	dmsA
NP_459941.1	STM0965	dmsB
NP_459942.1	STM0966	dmsC
NP_459943.1	STM0968	ycaD
NP_459944.1	STM0969	ycaM
NP_459945.3	STM0970	pflA
NP_459946.1	STM0971	NODATA
NP_459947.1	STM0972	NODATA
NP_459948.1	STM0973	pflB
NP_459949.1	STM0974	focA
NP_459950.1	STM0975	ycaO
NP_459951.1	STM0976	ycaP
NP_459952.1	STM0977	serC
NP_459953.1	STM0978	aroA
NP_459954.1	STM0979	ycaL
NP_459955.1	STM0980	cmk
NP_459956.1	STM0981	rpsA
NP_459957.1	STM0982	himD
NP_459958.1	STM0983	ycaI
NP_459959.1	STM0984	msbA
NP_459960.1	STM0985	lpxK
NP_459961.1	STM0986	ycaQ
NP_459962.1	STM0987	ycaR
NP_459963.1	STM0988	kdsB
NP_459964.1	STM0989	NODATA
NP_459965.1	STM0990	ycbC
NP_459966.1	STM0991	smtA
NP_459967.1	STM0992	mukF
NP_459968.1	STM0993	mukE
NP_459969.1	STM0994	mukB
NP_459970.1	STM0995	ycbB
NP_459971.1	STM0996	ycbK
NP_459972.1	STM0997	ycbL
NP_459973.1	STM0998	aspC
NP_459974.1	STM0999	ompF
NP_459975.1	STM1000	asnS
NP_459976.1	STM1001	NODATA
NP_459977.1	STM1002	NODATA
NP_459978.1	STM1003	NODATA
NP_459979.1	STM1004	pncB
NP_459980.1	STM1005	NODATA
NP_459981.1	STM1006	NODATA
NP_459982.1	STM1007	NODATA
NP_459983.3	STM1008	NODATA
NP_459984.1	STM1009	NODATA
NP_459985.1	STM1010	NODATA
NP_459986.1	STM1011	NODATA
NP_459987.1	STM1012	NODATA
NP_459988.1	STM1013	NODATA
NP_459989.1	STM1014	NODATA
NP_459990.1	STM1015	NODATA
NP_459991.1	STM1016	NODATA
NP_459992.1	STM1017	NODATA
NP_459993.1	STM1018	NODATA
NP_459994.1	STM1019	NODATA
NP_459995.1	STM1020	NODATA
NP_459996.1	STM1021	NODATA
NP_459997.1	STM1022	NODATA
NP_459998.1	STM1023	NODATA
NP_459999.1	STM1024	NODATA
NP_460000.1	STM1025	NODATA
NP_460001.1	STM1026	NODATA
NP_460002.1	STM1027	NODATA
NP_460003.1	STM1028	NODATA
NP_460004.1	STM1029	NODATA
NP_460005.1	STM1030	NODATA
NP_460006.1	STM1031	NODATA
NP_460007.1	STM1032	NODATA
NP_460008.1	STM1033	NODATA
NP_460009.1	STM1034	NODATA
NP_460010.1	STM1035	NODATA
NP_460011.1	STM1036	NODATA
NP_460012.1	STM1037	NODATA
NP_460013.1	STM1038	NODATA
NP_460014.1	STM1039	NODATA
NP_460015.1	STM1040	NODATA
NP_460016.1	STM1041	NODATA
NP_460017.1	STM1042	NODATA
NP_460018.1	STM1043	NODATA
NP_460019.1	STM1044	sodC
NP_460020.1	STM1045	NODATA
NP_460021.1	STM1046	NODATA
NP_460022.1	STM1047	NODATA
NP_460023.1	STM1048	NODATA
NP_460024.1	STM1049	NODATA
NP_460025.1	STM1050	NODATA
NP_460026.1	STM1051	sseI
NP_460027.1	STM1053	NODATA
NP_460028.1	STM1054	NODATA
NP_460029.1	STM1055	NODATA
NP_460030.1	STM1056	NODATA
NP_460031.1	STM1057	pepN
NP_460032.1	STM1058	pyrD
NP_460033.1	STM1059	ycbW
NP_460034.1	STM1060	NODATA
NP_460035.1	STM1061	ycbY
NP_460036.1	STM1062	uup
NP_460037.1	STM1063	pqiA
NP_460038.1	STM1064	pqiB
NP_460039.1	STM1065	ymbA
NP_460040.1	STM1066	rmf
NP_460041.1	STM1067	fabA
NP_460042.1	STM1068	lonH
NP_460043.1	STM1069	ycbG
NP_460044.1	STM1070	ompA
NP_460045.1	STM1071	sulA
NP_460046.1	STM1072	yccR
NP_460047.1	STM1073	yccS
NP_460048.1	STM1074	yccF
NP_460049.1	STM1075	helD
NP_460050.1	STM1076	mgsA
NP_460051.1	STM1077	yccT
NP_460052.1	STM1078	NODATA
NP_460053.1	STM1079	yccV
NP_460054.1	STM1080	yccW
NP_460055.1	STM1081	NODATA
NP_460056.1	STM1082	NODATA
NP_460057.1	STM1083	yccX
NP_460058.1	STM1084	yccK
NP_460059.1	STM1085	yccA
NP_460060.1	STM1087	pipA
NP_460061.1	STM1088	pipB
NP_460062.1	STM1089	NODATA
NP_460063.1	STM1090	pipC
NP_460064.1	STM1091	sopB
NP_460065.1	STM1092	orfX
NP_447525.1	STM1093	NODATA
NP_460067.1	STM1094	pipD
NP_447527.1	STM1095	copS
NP_460069.3	STM1096	copR
NP_460070.1	STM1097	NODATA
NP_460071.1	STM1098	hpaC
NP_460072.1	STM1099	hpaB
NP_460073.1	STM1100	hpaR
NP_460074.1	STM1101	hpaG
NP_460075.1	STM1102	hpaE
NP_460076.1	STM1103	hpaD
NP_460077.1	STM1104	hpaF
NP_460078.1	STM1105	hpaH
NP_460079.1	STM1106	hpaI
NP_460080.1	STM1107	hpaX
NP_460081.1	STM1108	hpaA
NP_460082.1	STM1109	NODATA
NP_460083.1	STM1110	NODATA
NP_460084.1	STM1111	yccD
NP_460085.1	STM1112	cbpA
NP_460086.1	STM1113	scsA
NP_460087.1	STM1114	scsB
NP_460088.1	STM1115	scsC
NP_460089.1	STM1116	scsD
NP_460090.1	STM1117	agp
NP_460091.1	STM1118	yccJ
NP_460092.1	STM1119	wraB
NP_460093.1	STM1121	ymdF
NP_460094.1	STM1122	ycdC
NP_460095.1	STM1123	NODATA
NP_447555.1	STM1124	putA
NP_460097.1	STM1125	putP
NP_447557.1	STM1126	phoH
NP_460099.1	STM1127	NODATA
NP_460100.1	STM1128	NODATA
NP_460101.1	STM1129	NODATA
NP_460102.1	STM1130	NODATA
NP_460103.1	STM1131	NODATA
NP_460104.1	STM1132	NODATA
NP_460105.1	STM1133	NODATA
NP_460106.1	STM1135	ycdW
NP_460107.1	STM1136	ycdX
NP_460108.1	STM1137	ycdY
NP_460109.1	STM1138	ycdZ
NP_460110.1	STM1139	csgG
NP_460111.1	STM1140	csgF
NP_460112.1	STM1141	csgE
NP_460113.1	STM1142	csgD
NP_460114.1	STM1143	csgB
NP_460115.1	STM1144	csgA
NP_460116.1	STM1145	csgC
NP_460117.1	STM1146	ymdA
NP_460118.1	STM1147	NODATA
NP_460119.3	STM1148	ymdC
NP_460120.1	STM1149	mdoC
NP_460121.1	STM1150	mdoG
NP_460122.1	STM1151	mdoH
NP_460123.1	STM1152	yceK
NP_460124.1	STM1153	msyB
NP_460125.1	STM1154	yceE
NP_460126.1	STM1155	htrB
NP_460127.1	STM1156	yceA
NP_460128.1	STM1157	yceI
NP_460129.1	STM1158	NODATA
NP_460130.1	STM1159	yceO
NP_460131.1	STM1160	solA
NP_460132.3	STM1161	yceP
NP_460133.1	STM1162	dinI
NP_460134.1	STM1163	pyrC
NP_460135.1	STM1164	yceB
NP_460136.1	STM1165	grxB
NP_460137.1	STM1166	yceL
NP_460138.1	STM1167	rimJ
NP_460139.1	STM1168	yceH
NP_460140.1	STM1169	mviM
NP_460141.1	STM1170	mviN
NP_460142.1	STM1171	flgN
NP_460143.1	STM1172	flgM
NP_460144.1	STM1173	flgA
NP_460145.1	STM1174	flgB
NP_460146.1	STM1175	flgC
NP_460147.1	STM1176	flgD
NP_460148.1	STM1177	flgE
NP_460149.1	STM1178	flgF
NP_460150.1	STM1179	flgG
NP_460151.1	STM1180	flgH
NP_460152.1	STM1181	flgI
NP_460153.1	STM1182	flgJ
NP_460154.1	STM1183	flgK
NP_460155.1	STM1184	flgL
NP_460156.1	STM1185	rne
NP_460157.1	STM1187	rluC
NP_460158.1	STM1188	NODATA
NP_460159.1	STM1189	yceF
NP_460160.1	STM1190	yceD
NP_460161.1	STM1191	rpmF
NP_460162.1	STM1192	plsX
NP_460163.1	STM1193	fabH
NP_460164.1	STM1194	fabD
NP_460165.1	STM1195	fabG
NP_460166.1	STM1196	acpP
NP_460167.1	STM1197	fabF
NP_460168.1	STM1198	pabC
NP_460169.1	STM1199	yceG
NP_460170.1	STM1200	tmk
NP_460171.1	STM1201	holB
NP_460172.1	STM1202	ycfH
NP_460173.1	STM1203	ptsG
NP_460174.1	STM1204	fhuE
NP_460175.1	STM1205	ycfF
NP_460176.1	STM1206	ycfL
NP_460177.1	STM1207	ycfM
NP_460178.1	STM1208	ycfN
NP_460179.1	STM1209	nagZ
NP_460180.1	STM1210	ycfP
NP_460181.1	STM1211	ndh
NP_460182.1	STM1212	ycfJ
NP_460183.1	STM1213	ycfQ
NP_460184.1	STM1214	ycfR
NP_460185.1	STM1215	ycfS
NP_460186.1	STM1216	mfd
NP_460187.3	STM1217	ycfU
NP_460188.1	STM1218	ycfV
NP_460189.1	STM1219	ycfW
NP_460190.1	STM1220	ycfX
NP_460191.1	STM1221	cobB
NP_460192.1	STM1222	potD
NP_460193.1	STM1223	potC
NP_460194.1	STM1224	sifA
NP_460195.1	STM1225	potB
NP_460196.1	STM1226	potA
NP_460197.1	STM1227	pepT
NP_460198.1	STM1228	NODATA
NP_460199.1	STM1229	ycfD
NP_460200.1	STM1230	phoQ
NP_460201.1	STM1231	phoP
NP_460202.1	STM1232	purB
NP_460203.1	STM1233	ycfC
NP_460204.3	STM1234	trmU
NP_460205.1	STM1235	ymfB
NP_460206.1	STM1236	NODATA
NP_460207.1	STM1237	ymfC
NP_460208.1	STM1238	icdA
NP_460209.1	STM1239	NODATA
NP_460210.1	STM1240	envF
NP_460211.1	STM1241	msgA
NP_460212.1	STM1242	envE
NP_460213.1	STM1243	NODATA
NP_460214.1	STM1244	pagD
NP_460215.1	STM1246	pagC
NP_460216.1	STM1249	NODATA
NP_460217.1	STM1250	NODATA
NP_460218.1	STM1251	NODATA
NP_460219.1	STM1252	NODATA
NP_460220.1	STM1253	NODATA
NP_460221.1	STM1254	NODATA
NP_460222.1	STM1255	NODATA
NP_460223.1	STM1256	NODATA
NP_460224.1	STM1257	NODATA
NP_460225.1	STM1258	NODATA
NP_460226.1	STM1259	NODATA
NP_460227.1	STM1260	NODATA
NP_460228.1	STM1261	NODATA
NP_460229.3	STM1263	NODATA
NP_460230.1	STM1264	aadA
NP_460231.1	STM1265	NODATA
NP_460232.1	STM1266	NODATA
NP_460233.1	STM1267	NODATA
NP_460234.1	STM1268	NODATA
NP_460235.1	STM1269	NODATA
NP_460236.1	STM1270	yeaS
NP_460237.1	STM1271	yeaR
NP_460238.1	STM1272	yoaG
NP_460239.1	STM1273	NODATA
NP_460240.1	STM1274	yeaQ
NP_460241.1	STM1275	yaoF
NP_460242.1	STM1276	NODATA
NP_460243.1	STM1277	yeaO
NP_460244.1	STM1278	yeaN
NP_460245.1	STM1279	yeaM
NP_460246.2	STM1280	yeaL
NP_460247.1	STM1281	NODATA
NP_460248.1	STM1282	yeaK
NP_460249.1	STM1283	yeaJ
NP_460250.1	STM1284	yeaH
NP_460251.1	STM1285	yeaG
NP_460252.1	STM1286	mipA
NP_460253.1	STM1287	NODATA
NP_460254.1	STM1288	NODATA
NP_460255.1	STM1289	yeaD
NP_460256.1	STM1290	gapA
NP_460257.1	STM1291	yeaA
NP_460258.1	STM1292	yeaC
NP_460259.1	STM1293	pncA
NP_460260.1	STM1294	ansA
NP_460261.1	STM1295	sppA
NP_460262.1	STM1296	ydjA
NP_460263.1	STM1297	selD
NP_460264.1	STM1298	topB
NP_460265.1	STM1299	gdhA
NP_460266.1	STM1300	NODATA
NP_460267.1	STM1301	NODATA
NP_460268.1	STM1302	xthA
NP_460269.1	STM1303	astC
NP_460270.1	STM1304	astA
NP_460271.1	STM1305	astD
NP_460272.1	STM1306	astB
NP_460273.1	STM1307	astE
NP_460274.1	STM1308	spy
NP_460275.1	STM1309	NODATA
NP_460276.1	STM1310	nadE
NP_460277.1	STM1311	osmE
NP_460278.1	STM1312	celA
NP_460279.1	STM1313	celB
NP_460280.1	STM1314	celC
NP_460281.1	STM1315	celD
NP_460282.1	STM1316	celF
NP_460283.1	STM1317	celG
NP_460284.1	STM1318	katE
NP_460285.1	STM1319	cedA
NP_460286.1	STM1320	ydjN
NP_460287.3	STM1321	ydjM
NP_460288.1	STM1322	yniC
NP_460289.1	STM1323	yniB
NP_460290.1	STM1324	NODATA
NP_460291.1	STM1325	ydiZ
NP_460292.1	STM1326	pfkB
NP_460293.1	STM1327	ydiY
NP_460294.1	STM1328	NODATA
NP_460295.1	STM1329	NODATA
NP_460296.1	STM1330	NODATA
NP_447756.1	STM1331	NODATA
NP_460298.1	STM1332	rfc
NP_460299.1	STM1333	thrS
NP_460300.3	STM1334	infC
NP_460301.1	STM1335	rpmI
NP_460302.1	STM1336	rplT
NP_460303.1	STM1337	pheS
NP_460304.1	STM1338	pheT
NP_460305.1	STM1339	himA
NP_460306.1	STM1340	btuC
NP_460307.1	STM1341	btuE
NP_460308.1	STM1342	btuD
NP_460309.1	STM1343	nlpC
NP_460310.1	STM1344	ydiV
NP_460311.1	STM1345	ydiU
NP_460312.1	STM1346	ydiE
NP_460313.1	STM1347	aroH
NP_460314.1	STM1348	ydiA
NP_460315.1	STM1349	pps
NP_460316.1	STM1350	ydiD
NP_460317.1	STM1351	ydiT
NP_460318.1	STM1352	ydiS
NP_460319.1	STM1353	ydiR
NP_460320.1	STM1354	ydiQ
NP_460321.1	STM1355	ydiP
NP_460322.1	STM1356	ydiO
NP_460323.3	STM1357	ydiF
NP_460324.1	STM1358	aroD
NP_460325.1	STM1359	ydiB
NP_460326.1	STM1360	ydiN
NP_460327.1	STM1361	ydiM
NP_460328.1	STM1362	ydiL
NP_460329.1	STM1364	ydiK
NP_460330.1	STM1365	ydiJ
NP_460331.1	STM1366	NODATA
NP_460332.1	STM1367	ydiH
NP_460333.1	STM1368	NODATA
NP_460334.1	STM1369	sufA
NP_460335.1	STM1370	sufB
NP_460336.1	STM1371	sufC
NP_460337.1	STM1372	sufD
NP_460338.1	STM1373	sufS
NP_460339.1	STM1374	ynhA
NP_460340.1	STM1375	ynhG
NP_460341.1	STM1376	lppB
NP_460342.1	STM1377	lpp
NP_460343.1	STM1378	pykF
NP_460344.1	STM1379	orf48
NP_460345.1	STM1380	orf32
NP_460346.1	STM1381	orf245
NP_460347.1	STM1382	orf408
NP_460348.1	STM1383	ttrA
NP_460349.1	STM1384	ttrC
NP_460350.1	STM1385	ttrB
NP_460351.1	STM1386	ttrS
NP_460352.3	STM1387	ttrR
NP_460353.1	STM1388	orf70
NP_460354.1	STM1389	orf319
NP_460355.1	STM1390	orf242
NP_460356.1	STM1391	ssrB
NP_460357.1	STM1392	ssrA
NP_460358.1	STM1393	ssaB
NP_460359.1	STM1394	ssaC
NP_460360.1	STM1395	ssaD
NP_460361.1	STM1396	ssaE
NP_460362.1	STM1397	sseA
NP_460363.1	STM1398	sseB
NP_460364.1	STM1399	sscA
NP_460365.1	STM1400	sseC
NP_460366.1	STM1401	sseD
NP_460367.1	STM1402	sseE
NP_460368.1	STM1403	sscB
NP_460369.1	STM1404	sseF
NP_460370.1	STM1405	sseG
NP_460371.1	STM1406	ssaG
NP_460372.1	STM1407	ssaH
NP_460373.1	STM1408	ssaI
NP_460374.1	STM1409	ssaJ
NP_460375.1	STM1410	NODATA
NP_460376.1	STM1411	ssaK
NP_460377.1	STM1412	ssaL
NP_460378.1	STM1413	ssaM
NP_460379.1	STM1414	ssaV
NP_460380.1	STM1415	ssaN
NP_460381.1	STM1416	ssaO
NP_460382.1	STM1417	ssaP
NP_460383.1	STM1418	ssaQ
NP_460384.1	STM1419	ssaR
NP_460385.1	STM1420	ssaS
NP_460386.1	STM1421	ssaT
NP_460387.1	STM1422	ssaU
NP_460388.2	STM1425	ydhE
NP_460389.1	STM1426	ribE
NP_460390.1	STM1427	cfa
NP_460391.1	STM1428	ydhC
NP_460392.1	STM1429	ydhB
NP_460393.1	STM1430	purR
NP_460394.1	STM1431	sodB
NP_460395.1	STM1432	ydhO
NP_460396.1	STM1433	ydhD
NP_460397.1	STM1434	rnt
NP_460398.1	STM1435	gloA
NP_460399.1	STM1436	nemA
NP_460400.1	STM1437	ydhM
NP_460401.1	STM1438	ydhL
NP_460402.1	STM1439	ydhF
NP_460403.1	STM1440	sodC
NP_460404.1	STM1441	NODATA
NP_460405.1	STM1442	ydhJ
NP_460406.1	STM1443	ydhI
NP_460407.3	STM1444	slyA
NP_460408.1	STM1445	slyB
NP_460409.1	STM1446	ydhH
NP_460410.1	STM1447	ydhA
NP_460411.1	STM1448	pdxH
NP_460412.1	STM1449	tyrS
NP_460413.1	STM1450	pdxY
NP_460414.1	STM1451	gst
NP_460415.1	STM1452	ydgR
NP_460416.1	STM1453	nth
NP_460417.1	STM1454	ydgQ
NP_460418.1	STM1455	ydgP
NP_460419.1	STM1456	ydgO
NP_460420.1	STM1457	NODATA
NP_460421.1	STM1458	ydgM
NP_460422.1	STM1459	NODATA
NP_460423.1	STM1460	ydgK
NP_460424.3	STM1461	ydgT
NP_460425.3	STM1462	ydgJ
NP_460426.1	STM1463	add
NP_460427.1	STM1466	ydgA
NP_460428.1	STM1467	manA
NP_460429.2	STM1468	fumA
NP_460430.1	STM1469	fumC
NP_460431.1	STM1470	tus
NP_460432.1	STM1471	rstB
NP_460433.1	STM1472	NODATA
NP_460434.1	STM1473	ompN
NP_460435.1	STM1475	rstA
NP_460436.1	STM1476	ydgC
NP_460437.1	STM1477	ydgI
NP_460438.1	STM1478	ydgH
NP_460439.1	STM1479	pntA
NP_460440.1	STM1480	pntB
NP_460441.1	STM1481	NODATA
NP_460442.1	STM1482	ydgF
NP_460443.1	STM1483	ydgE
NP_460444.1	STM1484	NODATA
NP_460445.3	STM1485	NODATA
NP_460446.1	STM1486	ynfM
NP_460447.1	STM1487	ynfL
NP_460448.1	STM1488	mlc
NP_460449.1	STM1489	ynfK
NP_460450.3	STM1490	NODATA
NP_460451.1	STM1491	NODATA
NP_460452.1	STM1492	NODATA
NP_460453.1	STM1493	NODATA
NP_460454.1	STM1494	NODATA
NP_460455.1	STM1495	ynfI
NP_460456.1	STM1496	NODATA
NP_460457.1	STM1497	NODATA
NP_460458.1	STM1498	NODATA
NP_460459.1	STM1499	NODATA
NP_460460.1	STM1500	ynfD
NP_460461.3	STM1501	ynfC
NP_460462.1	STM1502	speG
NP_460463.1	STM1503	ynfB
NP_460464.1	STM1504	ynfA
NP_460465.1	STM1505	rspA
NP_460466.1	STM1506	rspB
NP_447926.1	STM1507	ydfJ
NP_460468.1	STM1508	ydfI
NP_460469.1	STM1509	ydfZ
NP_460470.1	STM1510	ydfH
NP_460471.1	STM1511	ydfG
NP_460472.1	STM1512	dcp
NP_460473.1	STM1513	NODATA
NP_460474.1	STM1514	ydeJ
NP_460475.1	STM1515	ydeI
NP_460476.1	STM1516	ydeE
NP_460477.1	STM1517	ydeD
NP_460478.1	STM1518	marB
NP_460479.4	STM1519	marA
NP_460480.1	STM1520	marR
NP_460481.1	STM1521	marC
NP_460482.1	STM1522	ydeA
NP_460483.1	STM1523	yneJ
NP_460484.1	STM1524	yneI
NP_460485.1	STM1525	yneH
NP_460486.1	STM1526	yneG
NP_460487.1	STM1527	NODATA
NP_460488.1	STM1528	NODATA
NP_447948.1	STM1529	NODATA
NP_460490.1	STM1530	NODATA
NP_460491.1	STM1531	NODATA
NP_460492.1	STM1532	NODATA
NP_460493.1	STM1533	NODATA
NP_460494.1	STM1534	NODATA
NP_460495.1	STM1535	NODATA
NP_460496.1	STM1536	NODATA
NP_460497.1	STM1537	NODATA
NP_460498.1	STM1538	NODATA
NP_460499.1	STM1539	NODATA
NP_460500.1	STM1540	NODATA
NP_460501.1	STM1541	NODATA
NP_460502.1	STM1542	NODATA
NP_460503.1	STM1543	NODATA
NP_460504.1	STM1544	pqaA
NP_460505.1	STM1545	NODATA
NP_460506.1	STM1546	NODATA
NP_460507.1	STM1547	NODATA
NP_460508.3	STM1548	NODATA
NP_460509.1	STM1549	NODATA
NP_460510.1	STM1550	NODATA
NP_460511.1	STM1551	NODATA
NP_460512.1	STM1552	NODATA
NP_460513.1	STM1554	NODATA
NP_460514.1	STM1555	NODATA
NP_460515.1	STM1556	NODATA
NP_460516.1	STM1557	NODATA
NP_460517.1	STM1558	NODATA
NP_460518.1	STM1559	NODATA
NP_460519.1	STM1560	NODATA
NP_460520.1	STM1561	NODATA
NP_460521.1	STM1562	NODATA
NP_460522.1	STM1563	osmC
NP_460523.1	STM1564	yddX
NP_460524.1	STM1565	rpsV
NP_460525.1	STM1566	sfcA
NP_460526.1	STM1567	adhP
NP_460527.1	STM1568	fdnI
NP_460528.1	STM1569	fdnH
NP_460529.1	STM1570	fdnG
NP_460530.3	STM1571	yddG
NP_460531.1	STM1572	nmpC
NP_460532.3	STM1573	NODATA
NP_460533.1	STM1574	smvA
NP_460534.1	STM1575	NODATA
NP_460535.1	STM1576	narU
NP_460536.1	STM1577	narZ
NP_460537.1	STM1578	narY
NP_460538.1	STM1579	narW
NP_460539.1	STM1580	narV
NP_460540.1	STM1581	yddE
NP_460541.1	STM1582	nhoA
NP_460542.1	STM1583	NODATA
NP_460543.1	STM1584	ansP
NP_460544.1	STM1585	NODATA
NP_460545.1	STM1586	NODATA
NP_460546.1	STM1587	yncD
NP_460547.1	STM1588	yncC
NP_460548.1	STM1589	yncB
NP_460549.1	STM1590	yncA
NP_460550.1	STM1591	ydcZ
NP_460551.1	STM1592	ydcY
NP_460552.1	STM1593	srfA
NP_460553.1	STM1594	srfB
NP_460554.1	STM1595	srfC
NP_460555.1	STM1596	ydcX
NP_460556.3	STM1597	ydcW
NP_460557.1	STM1598	ydcR
NP_460558.1	STM1599	pdgL
NP_448018.1	STM1600	NODATA
NP_460560.1	STM1601	ugtL
NP_460561.1	STM1602	sifB
NP_460562.1	STM1603	yncJ
NP_460563.1	STM1604	ydcP
NP_460564.1	STM1605	ydcN
NP_460565.1	STM1606	NODATA
NP_460566.1	STM1607	NODATA
NP_460567.1	STM1608	tehB
NP_460568.1	STM1609	tehA
NP_460569.1	STM1610	ydcK
NP_460570.1	STM1611	rimL
NP_460571.1	STM1612	NODATA
NP_460572.1	STM1613	NODATA
NP_460573.1	STM1614	NODATA
NP_460574.1	STM1615	NODATA
NP_460575.1	STM1616	NODATA
NP_460576.1	STM1617	NODATA
NP_460577.1	STM1618	NODATA
NP_460578.1	STM1619	NODATA
NP_460579.1	STM1620	NODATA
NP_460580.1	STM1621	NODATA
NP_460581.1	STM1622	ydcG
NP_460582.1	STM1623	NODATA
NP_460583.1	STM1624	NODATA
NP_460584.1	STM1625	ydcI
NP_460585.2	STM1626	trg
NP_460586.1	STM1627	NODATA
NP_460587.1	STM1628	NODATA
NP_448047.1	STM1629	NODATA
NP_460589.1	STM1630	NODATA
NP_460590.1	STM1631	sseJ
NP_460591.1	STM1632	NODATA
NP_460592.1	STM1633	NODATA
NP_460593.1	STM1634	NODATA
NP_460594.1	STM1635	NODATA
NP_460595.1	STM1636	NODATA
NP_460596.1	STM1637	NODATA
NP_460597.1	STM1638	NODATA
NP_460598.1	STM1639	cybB
NP_460599.1	STM1640	ydcF
NP_460600.3	STM1641	hrpA
NP_460601.1	STM1642	acpD
NP_460602.1	STM1643	NODATA
NP_460603.1	STM1644	ydbL
NP_460604.1	STM1645	ynbE
NP_460605.1	STM1646	ydbH
